,Seed,Region,Team,Opponent,Team Score,Opponent Score,Result,Year,Round,team_game_result,fg_pct,fg3_pct,ft_pct,efg_pct,fga,fg3a,fta,orb,drb,tov,opp_name_abbr,pt_diff
24,1,east,Duke,Virginia Tech,75,73,1,2019,3,4,0.9254835820895523,0.9357617866004965,0.9369271966527198,0.8934839424141751,0.8550805194805197,1.0531347447073476,0.9609189504373178,0.7720248888888891,1.0083409579667646,1.1057762993762996,"['Wake Forest', 'North Carolina', 'Syracuse', 'North Carolina', 'Florida State']",0.6368
25,2,east,Michigan State,LSU,80,63,1,2019,3,5,1.0300927536231885,0.9701660986547085,1.0048800000000002,1.0267165876777253,1.1437333333333335,0.9540785046728973,1.0989428950863216,0.8860800000000002,0.9879145205479455,0.8966866807610995,"['Nebraska', 'Michigan', 'Ohio State', 'Wisconsin', 'Michigan']",2.2377600000000006
26,4,east,Virginia Tech,Duke,73,75,0,2019,3,3,0.9727741007194245,0.9928800000000002,0.9831659574468088,1.047152827918171,0.8442923857868022,1.085716171617162,1.0112967148488834,0.8071578947368422,1.0510880829015548,0.7134105263157896,"['Duke', 'Florida State', 'Miami (FL)', 'Miami (FL)', 'Florida State']",0.98368
27,3,east,LSU,Michigan State,63,80,0,2019,3,4,0.8955125,1.0530434782608697,0.9137995623632386,0.9268000000000001,0.7859561128526648,0.7498553615960102,0.9705021276595747,1.1588598130841121,1.1388442330558863,0.8113015873015873,"['Texas A&M', 'Alabama', 'Florida', 'Vanderbilt', 'Florida']",1.5811200000000003
28,2,east,Michigan State,Duke,68,67,1,2019,4,5,1.0300927536231885,0.9701660986547085,1.0048800000000002,1.0267165876777253,1.1437333333333335,0.9540785046728973,1.0989428950863216,0.8860800000000002,0.9879145205479455,0.8966866807610995,"['Nebraska', 'Michigan', 'Ohio State', 'Wisconsin', 'Michigan']",2.2377600000000006
29,1,east,Duke,Michigan State,67,68,0,2019,4,4,0.9254835820895523,0.9357617866004965,0.9369271966527198,0.8934839424141751,0.8550805194805197,1.0531347447073476,0.9609189504373178,0.7720248888888891,1.0083409579667646,1.1057762993762996,"['Wake Forest', 'North Carolina', 'Syracuse', 'North Carolina', 'Florida State']",0.6368
30,1,midwest,North Carolina,Iona,88,73,1,2019,1,4,0.9239742911153122,1.016651950207469,0.899644827586207,1.1751201856148494,0.9123801104972378,0.9487384615384618,0.9065453566621804,0.9969657831325303,0.9845016299137107,0.825971612903226,"['Clemson', 'Boston College', 'Duke', 'Louisville', 'Duke']",1.03648
31,9,midwest,Washington,Utah State,78,61,1,2019,1,3,1.0080921305182344,0.96359263803681,0.9912798226164081,1.0464738461538463,1.0281188571428574,1.0725985272459502,0.9723004316546765,0.8904427046263348,0.9149629629629629,0.9197459227467812,"['Oregon State', 'Oregon', 'Southern California', 'Colorado', 'Oregon']",-0.31743999999999994
32,5,midwest,Auburn,New Mexico State,78,77,1,2019,1,5,1.0393546961325966,0.9307945879458797,0.9927324444444445,1.142857142857143,1.02968275862069,1.0244210526315791,1.042043319268636,0.7168627450980393,0.9099526066350712,0.57964113785558,"['Tennessee', 'Missouri', 'South Carolina', 'Florida', 'Tennessee']",1.65888
33,4,midwest,Kansas,Northeastern,87,53,1,2019,1,3,0.9001825095057037,1.0893924812030076,0.9222124731182796,1.0923068640646032,0.7523245714285716,0.8103178002894358,0.9495920567375891,1.1833714285714285,1.0459622481442208,1.0294493723849374,"['Oklahoma', 'Baylor', 'Texas', 'West Virginia', 'Iowa State']",-0.7283200000000003
34,11,midwest,Ohio State,Iowa State,62,59,1,2019,1,1,0.8560381709741551,0.9965737959606422,0.8683576036866361,1.011328165374677,0.7492598240469209,1.0112738461538464,1.0249678474114443,0.8636845878136203,0.8568200238379022,0.9026573426573427,"['Purdue', 'Northwestern', 'Wisconsin', 'Indiana', 'Michigan State']",-3.54144
35,3,midwest,Houston,Georgia State,84,55,1,2019,1,4,1.000878310940499,1.0618378574670906,0.9961399103139015,1.0567105431309909,1.039963943661972,0.9110175035868008,0.9531425320056901,1.24349898989899,0.8520877846790893,0.9271142857142859,"['SMU', 'Cincinnati', 'Connecticut', 'Memphis', 'Cincinnati']",1.8432000000000002
36,7,midwest,Wofford,Seton Hall,84,68,1,2019,1,5,1.0076524137931036,0.9495834896810509,1.010370612244898,0.9328310010764265,1.0322241545893724,1.1304818024263437,0.9856795454545457,0.8092903225806453,1.0794134615384618,1.00815512465374,"['Chattanooga', 'Samford', 'VMI', 'East Tennessee State', 'UNC Greensboro']",4.0192000000000005
37,2,midwest,Kentucky,Abilene Christian,79,44,1,2019,1,3,0.8887426415094342,0.907579317073171,0.8868897274633126,0.8655683690280067,1.0042892655367235,1.0433396973224682,0.9303815967523682,0.7747410526315791,1.0389043841336119,1.0112246696035243,"['Tennessee', 'Ole Miss', 'Florida', 'Alabama', 'Tennessee']",-0.8281600000000001
38,16,midwest,Iona,North Carolina,73,88,0,2019,1,5,1.1000060377358492,0.9260735898787562,1.0837026548672568,0.9133462721893494,1.2101196581196585,1.1068360515021463,1.1160655033557048,1.018189830508475,0.9405720154043649,0.7661306532663318,"['Canisius', 'Rider', ""Saint Peter's"", 'Siena', 'Monmouth']",2.12
